,ID,datetime,Day,Time,siteid,offerid,category,merchant,countrycode,browserid,devid,click
10032078,IDxLykNGv,2017-01-13 09:56:25,13,9,7542794,855038,45287,26391770,5,1,1,0
5966180,IDDpKZb9C,2017-01-12 16:00:13,12,16,8448216,874642,904,26391770,2,3,1,0
4492020,IDOQ61dWQ,2017-01-14 12:05:24,14,12,4839616,33414,54916,87903766,2,3,1,0
7539955,IDtVOOE7b,2017-01-11 13:28:57,11,13,5211897,34673,54916,58321067,4,2,4,0
5412459,IDwsrlCcN,2017-01-10 18:53:37,10,18,1314446,603491,30580,67147700,2,3,1,0
4745518,IDmc3HTUC,2017-01-11 16:15:33,11,16,3519718,813272,93188,91553313,1,2,4,0
7675255,IDWrlV1Br,2017-01-16 14:17:42,16,14,7930294,267057,33033,36994522,2,3,1,0
4880028,ID2mjw26n,2017-01-13 10:30:21,13,10,2764352,847489,5602,60774669,2,3,1,0
6884783,IDqwQIDuW,2017-01-15 08:56:53,15,8,8166901,335008,5602,80653536,5,2,4,0
9651637,IDvCcmHoS,2017-01-18 17:34:34,18,17,4928442,591206,97863,61392274,1,3,2,0
10870987,IDxcYQ6y2,2017-01-16 15:23:25,16,15,626479,351808,14960,47079934,1,2,4,0
2964207,IDphNVUrv,2017-01-11 15:33:31,11,15,1215612,68533,99914,20301556,1,3,2,0
1119877,IDT21ZaRh,2017-01-11 13:12:45,11,13,7067147,741624,17714,27723861,6,3,3,0
386965,IDz2tyjUe,2017-01-11 19:11:21,11,19,7838124,33251,12211,40965804,2,1,1,0
1862119,ID7UjRlyD,2017-01-16 11:38:11,16,11,1168909,977014,33287,9434818,1,3,3,0
11407027,IDY3E2kdY,2017-01-16 10:55:07,16,10,468834,72901,97863,36994522,6,2,4,0
10402959,IDNTgK1bQ,2017-01-13 11:28:59,13,11,8723263,422677,9764,79474990,2,3,2,0
7736102,IDuchmtjd,2017-01-20 08:10:58,20,8,803508,245333,82877,38492160,1,3,1,0
10270788,ID33VEi46,2017-01-14 08:01:35,14,8,2627839,663002,64452,49228948,1,3,2,0
1654045,IDLgkgKuf,2017-01-14 12:43:35,14,12,7037948,445181,96313,31261303,5,3,1,0
7941270,ID4KroLjF,2017-01-19 14:51:20,19,14,4505787,301045,17714,26391770,2,3,1,0
6169643,IDW1FdTDv,2017-01-20 16:27:32,20,16,1404376,314015,76239,61204530,5,4,3,0
6414476,IDhn6DoDq,2017-01-18 12:20:37,18,12,,193405,41706,4000296,2,3,1,0
1116109,IDlHcxZiY,2017-01-14 09:37:24,14,9,8011778,2438,26962,77896159,2,2,4,0
231684,IDpXX5Z1V,2017-01-14 15:29:39,14,15,4870044,475616,34670,87807327,2,3,1,0
5825284,IDSLakp9n,2017-01-11 10:25:03,11,10,7408764,952335,17714,16340250,1,4,4,0
11135012,IDA0api8Z,2017-01-13 12:58:21,13,12,3149680,910164,1678,14334527,1,3,1,0
7788849,IDlWZGLtY,2017-01-10 15:09:24,10,15,3826152,498117,6906,99510044,2,3,1,0
10434967,ID37amey5,2017-01-20 17:17:31,20,17,9150827,780083,53956,46997962,2,4,1,0
10705246,IDhC10MvM,2017-01-13 03:49:11,13,3,5039441,231979,11837,49384126,2,3,2,0
5697824,IDHvR8y2j,2017-01-13 03:18:12,13,3,388779,384958,34670,48615529,2,3,2,0
8369694,IDSuIJ5r0,2017-01-14 15:45:50,14,15,7054046,481282,17714,74363610,2,2,4,0
9316586,IDWTtVTM7,2017-01-12 13:28:42,12,13,9081620,915183,82877,38492160,1,3,2,0
3121702,IDxC79Vl0,2017-01-11 15:58:49,11,15,5941249,857363,48498,58321067,2,3,2,0
2607774,ID2Rp5uPm,2017-01-14 14:50:08,14,14,230700,764260,11837,43770446,1,6,4,0
3563605,IDq7gga0E,2017-01-11 19:10:04,11,19,7139962,479611,48498,77046603,2,3,2,0
6908101,IDfCvRFP2,2017-01-19 07:50:30,19,7,9348671,226743,54916,80418924,4,2,4,0
4318160,IDgdB3JZq,2017-01-13 16:42:46,13,16,4629551,490045,73362,67274540,6,3,2,0
4344183,IDj488Q3R,2017-01-14 12:08:06,14,12,98480,600136,15912,76234896,5,3,2,0
5959028,IDyolw4Vw,2017-01-16 14:23:25,16,14,1287212,675784,33287,57977218,1,1,1,0
6254594,IDfhnyceT,2017-01-12 16:18:08,12,16,1049799,557596,6906,99510044,5,2,4,0
7189006,IDgRpvwix,2017-01-14 13:37:42,14,13,6401643,764607,54916,53807073,1,2,4,0
586709,IDgDxfNOM,2017-01-18 13:57:58,18,13,7642855,454332,1678,93157824,2,1,2,0
4772231,IDZLgcIgN,2017-01-15 13:37:32,15,13,6772617,285959,40339,7122654,1,2,4,0
6413435,IDxOKhKR9,2017-01-12 12:59:15,12,12,4007163,957342,904,26391770,2,1,1,0
1598922,ID628iDVm,2017-01-12 16:01:15,12,16,1043601,752661,17714,74363610,2,2,3,0
8636599,IDxg1Jnnv,2017-01-19 10:03:23,19,10,8823982,94489,63392,24374189,2,3,1,0
10721244,IDmMqkTuX,2017-01-13 17:21:00,13,17,2887674,496632,6906,99510044,6,4,2,1
2031603,IDSY3xVNa,2017-01-18 14:57:42,18,14,,386727,42227,96823930,2,2,4,0
11982914,IDjr7KgbN,2017-01-10 14:58:37,10,14,2972808,53228,91234,99684291,2,3,1,0
1571378,IDcrGbkeb,2017-01-16 10:03:50,16,10,1120067,844311,26966,74363610,1,3,1,0
7534145,IDgxC8mEh,2017-01-20 17:16:54,20,17,7412279,898763,84974,27723861,4,3,1,0
812352,IDoHTOqb8,2017-01-12 09:08:17,12,9,1763138,414389,95113,92640312,2,1,3,0
12060569,IDoB3Jh0v,2017-01-15 15:44:16,15,15,993769,5056,42227,49384126,1,3,3,0
2003393,IDHhYPRDG,2017-01-18 16:31:39,18,16,5467328,51953,26962,77896159,1,2,4,0
2165946,IDOHaWUlo,2017-01-11 11:11:28,11,11,1466152,836550,73248,83960204,1,3,1,0
3963513,IDK02mkNK,2017-01-14 15:52:47,14,15,9437029,485716,42227,7864011,4,3,1,0
2514390,ID0llRtnE,2017-01-11 13:34:48,11,13,8292427,726115,12211,58163546,1,3,2,0
10754703,IDyyaMcgR,2017-01-19 09:45:11,19,9,2648492,926606,41210,26391770,1,3,1,0
3949930,IDYu3bOMF,2017-01-16 17:54:34,16,17,9850797,509012,82396,17990842,2,3,2,0
2554052,IDDkrQCXN,2017-01-14 14:09:55,14,14,4786066,378889,34670,87807327,2,2,4,0
1638020,IDA9hT5GM,2017-01-13 10:05:47,13,10,8193493,5937,11987,74363610,1,3,2,0
9195634,ID9mquoTa,2017-01-12 16:24:31,12,16,,809566,5602,58604466,1,2,4,0
9607988,IDfWyQZWd,2017-01-17 11:58:16,17,11,9723764,863175,53835,26391770,1,3,1,0
3296018,IDG9hpkGT,2017-01-12 10:53:54,12,10,7119464,77449,50088,7864011,6,2,4,0
1675592,IDRrQjors,2017-01-14 16:56:53,14,16,,388157,1678,52437512,2,2,3,0
1949760,IDc37yZV0,2017-01-13 14:14:08,13,14,9510521,273588,17714,2050923,2,2,4,0
1689171,IDlydhNQX,2017-01-18 13:24:52,18,13,4183443,663246,97863,87807327,6,3,3,0
5430753,IDpUij9zt,2017-01-14 13:08:28,14,13,6575104,827802,93286,14065822,2,3,1,0
7773063,IDOUh2RHF,2017-01-18 10:30:53,18,10,6280934,630264,33287,46997962,2,3,1,0
8369248,IDLmP2xur,2017-01-17 08:19:57,17,8,7023255,32250,6906,99510044,2,7,1,0
9519301,IDOUm2FzJ,2017-01-11 18:04:27,11,18,1645208,435929,17118,15961717,1,3,2,0
389456,IDCCwvG5F,2017-01-17 12:05:16,17,12,9513546,169086,42227,7181598,6,3,1,0
10644561,IDJXAy4Iw,2017-01-16 16:06:15,16,16,8310990,277877,97863,56008048,1,1,1,0
7787841,IDqM4wnNj,2017-01-14 14:45:19,14,14,,800154,36610,20301556,1,2,4,0
96189,IDt52hHG2,2017-01-12 18:59:58,12,18,6022649,87053,80554,7122654,2,7,4,0
11863417,IDDomHzJ1,2017-01-14 13:01:09,14,13,5258936,823393,41640,26391770,2,7,2,0
8499086,IDLpkOKdg,2017-01-14 15:37:25,14,15,5686455,762228,73362,86409024,2,3,1,0
10080538,IDCTxCf5e,2017-01-11 19:42:22,11,19,,526586,12211,15961717,2,2,3,0
1262821,IDV7z1v83,2017-01-20 14:11:53,20,14,328345,155401,11837,89663643,2,2,4,0
5035917,IDzl72Lni,2017-01-16 07:18:23,16,7,1455668,806614,43612,55315296,2,3,1,0
