,ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
10032078,IDxLykNGv,2017-01-13 09:56:25,7542794,855038,45287,26391770,e,Google Chrome,Mobile,0
5966180,IDDpKZb9C,2017-01-12 16:00:13,8448216,874642,904,26391770,b,Firefox,Mobile,0
4492020,IDOQ61dWQ,2017-01-14 12:05:24,4839616,33414,54916,87903766,b,Firefox,Mobile,0
7539955,IDtVOOE7b,2017-01-11 13:28:57,5211897,34673,54916,58321067,d,Edge,Tablet,0
5412459,IDwsrlCcN,2017-01-10 18:53:37,1314446,603491,30580,67147700,b,Firefox,Mobile,0
4745518,IDmc3HTUC,2017-01-11 16:15:33,3519718,813272,93188,91553313,a,Edge,Tablet,0
7675255,IDWrlV1Br,2017-01-16 14:17:42,7930294,267057,33033,36994522,b,Firefox,Mobile,0
4880028,ID2mjw26n,2017-01-13 10:30:21,2764352,847489,5602,60774669,b,Firefox,Mobile,0
6884783,IDqwQIDuW,2017-01-15 08:56:53,8166901,335008,5602,80653536,e,Edge,Tablet,0
9651637,IDvCcmHoS,2017-01-18 17:34:34,4928442,591206,97863,61392274,a,Mozilla,Desktop,0
10870987,IDxcYQ6y2,2017-01-16 15:23:25,626479,351808,14960,47079934,a,Edge,Tablet,0
2964207,IDphNVUrv,2017-01-11 15:33:31,1215612,68533,99914,20301556,a,Mozilla,Desktop,0
1119877,IDT21ZaRh,2017-01-11 13:12:45,7067147,741624,17714,27723861,f,Mozilla,,0
386965,IDz2tyjUe,2017-01-11 19:11:21,7838124,33251,12211,40965804,b,Google Chrome,Mobile,0
1862119,ID7UjRlyD,2017-01-16 11:38:11,1168909,977014,33287,9434818,a,Mozilla,,0
11407027,IDY3E2kdY,2017-01-16 10:55:07,468834,72901,97863,36994522,f,Edge,Tablet,0
10402959,IDNTgK1bQ,2017-01-13 11:28:59,8723263,422677,9764,79474990,b,Mozilla,Desktop,0
7736102,IDuchmtjd,2017-01-20 08:10:58,803508,245333,82877,38492160,a,Firefox,Mobile,0
10270788,ID33VEi46,2017-01-14 08:01:35,2627839,663002,64452,49228948,a,Mozilla,Desktop,0
1654045,IDLgkgKuf,2017-01-14 12:43:35,7037948,445181,96313,31261303,e,Firefox,Mobile,0
7941270,ID4KroLjF,2017-01-19 14:51:20,4505787,301045,17714,26391770,b,Firefox,Mobile,0
6169643,IDW1FdTDv,2017-01-20 16:27:32,1404376,314015,76239,61204530,e,InternetExplorer,,0
6414476,IDhn6DoDq,2017-01-18 12:20:37,,193405,41706,4000296,b,Firefox,Mobile,0
1116109,IDlHcxZiY,2017-01-14 09:37:24,8011778,2438,26962,77896159,b,Edge,Tablet,0
231684,IDpXX5Z1V,2017-01-14 15:29:39,4870044,475616,34670,87807327,b,Firefox,Mobile,0
5825284,IDSLakp9n,2017-01-11 10:25:03,7408764,952335,17714,16340250,a,Internet Explorer,Tablet,0
11135012,IDA0api8Z,2017-01-13 12:58:21,3149680,910164,1678,14334527,a,Firefox,Mobile,0
7788849,IDlWZGLtY,2017-01-10 15:09:24,3826152,498117,6906,99510044,b,Firefox,Mobile,0
10434967,ID37amey5,2017-01-20 17:17:31,9150827,780083,53956,46997962,b,IE,Mobile,0
10705246,IDhC10MvM,2017-01-13 03:49:11,5039441,231979,11837,49384126,b,Mozilla Firefox,Desktop,0
5697824,IDHvR8y2j,2017-01-13 03:18:12,388779,384958,34670,48615529,b,Mozilla,Desktop,0
8369694,IDSuIJ5r0,2017-01-14 15:45:50,7054046,481282,17714,74363610,b,Edge,Tablet,0
9316586,IDWTtVTM7,2017-01-12 13:28:42,9081620,915183,82877,38492160,a,Mozilla,Desktop,0
3121702,IDxC79Vl0,2017-01-11 15:58:49,5941249,857363,48498,58321067,b,Mozilla Firefox,Desktop,0
2607774,ID2Rp5uPm,2017-01-14 14:50:08,230700,764260,11837,43770446,a,Safari,Tablet,0
3563605,IDq7gga0E,2017-01-11 19:10:04,7139962,479611,48498,77046603,b,Mozilla,Desktop,0
6908101,IDfCvRFP2,2017-01-19 07:50:30,9348671,226743,54916,80418924,d,Edge,Tablet,0
4318160,IDgdB3JZq,2017-01-13 16:42:46,4629551,490045,73362,67274540,f,Mozilla,Desktop,0
