,ID,datetime,Day,Time,siteid,offerid,category,merchant,countrycode,browserid,devid,click
10032078,IDxLykNGv,13-01-2017 09:56,13,9,7542794,855038,45287,26391770,5,1,1,0
5966180,IDDpKZb9C,12-01-2017 16:00,12,16,8448216,874642,904,26391770,2,3,1,0
4492020,IDOQ61dWQ,14-01-2017 12:05,14,12,4839616,33414,54916,87903766,2,3,1,0
7539955,IDtVOOE7b,11-01-2017 13:28,11,13,5211897,34673,54916,58321067,4,2,4,0
5412459,IDwsrlCcN,10-01-2017 18:53,10,18,1314446,603491,30580,67147700,2,3,1,0
4745518,IDmc3HTUC,11-01-2017 16:15,11,16,3519718,813272,93188,91553313,1,2,4,0
7675255,IDWrlV1Br,16-01-2017 14:17,16,14,7930294,267057,33033,36994522,2,3,1,0
4880028,ID2mjw26n,13-01-2017 10:30,13,10,2764352,847489,5602,60774669,2,3,1,0
6884783,IDqwQIDuW,15-01-2017 08:56,15,8,8166901,335008,5602,80653536,5,2,4,0
9651637,IDvCcmHoS,18-01-2017 17:34,18,17,4928442,591206,97863,61392274,1,3,2,0
10870987,IDxcYQ6y2,16-01-2017 15:23,16,15,626479,351808,14960,47079934,1,2,4,0
2964207,IDphNVUrv,11-01-2017 15:33,11,15,1215612,68533,99914,20301556,1,3,2,0
1119877,IDT21ZaRh,11-01-2017 13:12,11,13,7067147,741624,17714,27723861,6,3,3,0
386965,IDz2tyjUe,11-01-2017 19:11,11,19,7838124,33251,12211,40965804,2,1,1,0
1862119,ID7UjRlyD,16-01-2017 11:38,16,11,1168909,977014,33287,9434818,1,3,3,0
11407027,IDY3E2kdY,16-01-2017 10:55,16,10,468834,72901,97863,36994522,6,2,4,0
10402959,IDNTgK1bQ,13-01-2017 11:28,13,11,8723263,422677,9764,79474990,2,3,2,0
7736102,IDuchmtjd,20-01-2017 08:10,20,8,803508,245333,82877,38492160,1,3,1,0
10270788,ID33VEi46,14-01-2017 08:01,14,8,2627839,663002,64452,49228948,1,3,2,0
1654045,IDLgkgKuf,14-01-2017 12:43,14,12,7037948,445181,96313,31261303,5,3,1,0
7941270,ID4KroLjF,19-01-2017 14:51,19,14,4505787,301045,17714,26391770,2,3,1,0
6169643,IDW1FdTDv,20-01-2017 16:27,20,16,1404376,314015,76239,61204530,5,4,3,0
6414476,IDhn6DoDq,18-01-2017 12:20,18,12,,193405,41706,4000296,2,3,1,0
1116109,IDlHcxZiY,14-01-2017 09:37,14,9,8011778,2438,26962,77896159,2,2,4,0
231684,IDpXX5Z1V,14-01-2017 15:29,14,15,4870044,475616,34670,87807327,2,3,1,0
5825284,IDSLakp9n,11-01-2017 10:25,11,10,7408764,952335,17714,16340250,1,4,4,0
11135012,IDA0api8Z,13-01-2017 12:58,13,12,3149680,910164,1678,14334527,1,3,1,0
7788849,IDlWZGLtY,10-01-2017 15:09,10,15,3826152,498117,6906,99510044,2,3,1,0
10434967,ID37amey5,20-01-2017 17:17,20,17,9150827,780083,53956,46997962,2,4,1,0
10705246,IDhC10MvM,13-01-2017 03:49,13,3,5039441,231979,11837,49384126,2,3,2,0
5697824,IDHvR8y2j,13-01-2017 03:18,13,3,388779,384958,34670,48615529,2,3,2,0
8369694,IDSuIJ5r0,14-01-2017 15:45,14,15,7054046,481282,17714,74363610,2,2,4,0
9316586,IDWTtVTM7,12-01-2017 13:28,12,13,9081620,915183,82877,38492160,1,3,2,0
3121702,IDxC79Vl0,11-01-2017 15:58,11,15,5941249,857363,48498,58321067,2,3,2,0
2607774,ID2Rp5uPm,14-01-2017 14:50,14,14,230700,764260,11837,43770446,1,6,4,0
3563605,IDq7gga0E,11-01-2017 19:10,11,19,7139962,479611,48498,77046603,2,3,2,0
6908101,IDfCvRFP2,19-01-2017 07:50,19,7,9348671,226743,54916,80418924,4,2,4,0
4318160,IDgdB3JZq,13-01-2017 16:42,13,16,4629551,490045,73362,67274540,6,3,2,0
4344183,IDj488Q3R,14-01-2017 12:08,14,12,98480,600136,15912,76234896,5,3,2,0
5959028,IDyolw4Vw,16-01-2017 14:23,16,14,1287212,675784,33287,57977218,1,1,1,0
6254594,IDfhnyceT,12-01-2017 16:18,12,16,1049799,557596,6906,99510044,5,2,4,0
7189006,IDgRpvwix,14-01-2017 13:37,14,13,6401643,764607,54916,53807073,1,2,4,0
586709,IDgDxfNOM,18-01-2017 13:57,18,13,7642855,454332,1678,93157824,2,1,2,0
4772231,IDZLgcIgN,15-01-2017 13:37,15,13,6772617,285959,40339,7122654,1,2,4,0
6413435,IDxOKhKR9,12-01-2017 12:59,12,12,4007163,957342,904,26391770,2,1,1,0
1598922,ID628iDVm,12-01-2017 16:01,12,16,1043601,752661,17714,74363610,2,2,3,0
8636599,IDxg1Jnnv,19-01-2017 10:03,19,10,8823982,94489,63392,24374189,2,3,1,0
